available_bikes,longitude,latitude,name,rating,pricing,review_count,street address,Is Closed,Contact#
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Pho Hamilton,4.7,,6,115 Park Street N,False,1289389666
6,-79.87,43.26,Ola Bakery & Pastries,4.6,1.0,13,224-246 James Street N,False,nan
6,-79.87,43.26,Wild Orchid,2.8,2.0,17,286 James St N,False,1905528717
6,-79.87,43.26,Castelli Cucina,3.7,,10,337 James Street N,False,1289389306
6,-79.87,43.26,Gate of India,3.1,2.0,27,201 James Street N,False,1905528554
6,-79.87,43.26,Dunas Verdes Cafe,3.6,2.0,7,253 James St N,False,1905522481
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Smalls Coffee,4.5,1.0,14,8 Cannon Street E,False,nan
6,-79.87,43.26,Pho Dui Bo,3.6,1.0,29,15 Cannon Street E,False,1905525010
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Pho Hamilton,4.7,,6,115 Park Street N,False,1289389666
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Diplomat,4.1,3.0,23,43 King William Street,False,1905523434
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Burrito Boyz,3.8,1.0,45,66 King Street E,False,1905529269
6,-79.87,43.26,Kenzo,4.1,,24,21 King Street E,False,1905577666
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Burrito Boyz,3.8,1.0,45,66 King Street E,False,1905529269
6,-79.87,43.26,Kenzo,4.1,,24,21 King Street E,False,1905577666
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Burrito Boyz,3.8,1.0,45,66 King Street E,False,1905529269
6,-79.87,43.26,Kenzo,4.1,,24,21 King Street E,False,1905577666
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Burrito Boyz,3.8,1.0,45,66 King Street E,False,1905529269
6,-79.87,43.26,Kenzo,4.1,,24,21 King Street E,False,1905577666
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Pho Hamilton,4.7,,6,115 Park Street N,False,1289389666
6,-79.87,43.26,Ola Bakery & Pastries,4.6,1.0,13,224-246 James Street N,False,nan
6,-79.87,43.26,Castelli Cucina,3.7,,10,337 James Street N,False,1289389306
6,-79.87,43.26,Wild Orchid,2.8,2.0,17,286 James St N,False,1905528717
6,-79.87,43.26,Gate of India,3.1,2.0,27,201 James Street N,False,1905528554
6,-79.87,43.26,Dunas Verdes Cafe,3.6,2.0,7,253 James St N,False,1905522481
6,-79.87,43.26,The Brain,4.2,1.0,19,199 James St N,False,1289396850
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Smalls Coffee,4.5,1.0,14,8 Cannon Street E,False,nan
6,-79.87,43.26,Pho Dui Bo,3.6,1.0,29,15 Cannon Street E,False,1905525010
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Pho Hamilton,4.7,,6,115 Park Street N,False,1289389666
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Diplomat,4.1,3.0,23,43 King William Street,False,1905523434
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Pho Hamilton,4.7,,6,115 Park Street N,False,1289389666
6,-79.87,43.26,Ola Bakery & Pastries,4.6,1.0,13,224-246 James Street N,False,nan
6,-79.87,43.26,Castelli Cucina,3.7,,10,337 James Street N,False,1289389306
6,-79.87,43.26,Wild Orchid,2.8,2.0,17,286 James St N,False,1905528717
6,-79.87,43.26,Gate of India,3.1,2.0,27,201 James Street N,False,1905528554
6,-79.87,43.26,Dunas Verdes Cafe,3.6,2.0,7,253 James St N,False,1905522481
6,-79.87,43.26,The Brain,4.2,1.0,19,199 James St N,False,1289396850
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Synonym,4.7,,12,328 James Street N,False,1905525797
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Smalls Coffee,4.5,1.0,14,8 Cannon Street E,False,nan
6,-79.87,43.26,Pho Dui Bo,3.6,1.0,29,15 Cannon Street E,False,1905525010
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Pho Hamilton,4.7,,6,115 Park Street N,False,1289389666
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Diplomat,4.1,3.0,23,43 King William Street,False,1905523434
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,The Mule,3.9,2.0,181,41 King William Street,False,1289389255
6,-79.87,43.26,The French,4.2,3.0,100,37 King William Street,False,1905528373
6,-79.87,43.26,August 8,3.9,2.0,124,1 Wilson Street,False,1905524383
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Hambrgr,4.3,2.0,207,49 King William Street,False,1289389121
6,-79.87,43.26,Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,1289389656
6,-79.87,43.26,The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,1905536114
6,-79.87,43.26,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,1905522699
6,-79.87,43.26,Charred Chicken,4.2,2.0,117,244 James Street N,False,1289396066
6,-79.87,43.26,Mesa,4.1,2.0,57,255 James Street N,False,1289246969
6,-79.87,43.26,Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,1905963136
6,-79.87,43.26,Born and Raised,3.8,2.0,25,224 James Street N,False,1289768523
6,-79.87,43.26,Smalls Coffee,4.5,1.0,14,8 Cannon Street E,False,nan
6,-79.87,43.26,Pho Dui Bo,3.6,1.0,29,15 Cannon Street E,False,1905525010
6,-79.87,43.26,Undefined,4.4,,9,35 King William Street,False,1905393834
6,-79.87,43.26,Pho Hamilton,4.7,,6,115 Park Street N,False,1289389666
6,-79.87,43.26,Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,1905407045
6,-79.87,43.26,Diplomat,4.1,3.0,23,43 King William Street,False,1905523434
6,-79.87,43.26,Green Bar,4.5,1.0,17,236 James Street N,False,1289396228
6,-79.87,43.26,Berkeley North,4.3,3.0,41,31 King William Street,False,1905522585
6,-79.87,43.26,Kenzo,4.1,,24,21 King Street E,False,1905577666
6,-79.87,43.26,Famous Recipe,4.9,,9,158 King Street W,False,1289389974
6,-79.87,43.26,Relay Coffee Roasters,4.3,,10,27 King William Street,False,1905769321
